Cell	PV	Lineage-group-by-changing-points(P<0.001)	Localization-cluster
ABalpppppp	0.099172823	G02	C01
ABplaapapp	0.096082708	G07	C01
ABplaappaa	0.084872156	G07	C01
ABplaappap	0.08757017	G07	C01
ABplpaaaap	0.100535039	G08	C01
ABplpaaapa	0.09590458	G08	C01
ABplpaaapp	0.094348331	G08	C01
ABplpaapap	0.089399453	G08	C01
ABplpaappa	0.092396361	G08	C01
ABplpapaaa	0.117631557	G09	C01
ABplppaaaa	0.100216383	G10	C01
MSapapa	0.10960368	G15	C01
ABalaaaala	0.074994537	G01	C02
ABalaaaarl	0.074917801	G01	C02
ABalaaaarr	0.073066544	G01	C02
ABalaaapal	0.073492284	G01	C02
ABalaaapar	0.0723657	G01	C02
ABalaaappl	0.066907066	G01	C02
ABalaaappr	0.07066792	G01	C02
ABalapaaaa	0.070590793	G01	C02
ABalappaaa	0.071691788	G01	C02
ABalappaap	0.07354079	G01	C02
ABalappapa	0.072678409	G01	C02
ABalpaaaaa	0.078425898	G02	C02
ABalpaapaa	0.07402683	G02	C02
ABaraaaaaa	0.071709223	G03	C02
ABaraaaaap	0.075364979	G03	C02
ABaraaaapa	0.071585173	G03	C02
ABaraapaaa	0.083729229	G04	C02
MSaaaaaa	0.071674715	G15	C02
ABarppappa	0.096186052	G06	C03
ABarppappp	0.080960906	G06	C03
ABplapapaa	0.076598613	G07	C03
ABplapapap	0.068596759	G07	C03
ABplapappa	0.064573756	G07	C03
ABplapappp	0.069483107	G07	C03
ABplappapp	0.070199374	G07	C03
ABplapppaa	0.073473405	G07	C03
ABplapppap	0.07107296	G07	C03
ABplappppa	0.068321527	G07	C03
ABplappppp	0.068764833	G07	C03
ABplpppapp	0.079775674	G10	C03
Caaaaa	0.09548075	G18	C03
Caaaap	0.077528708	G18	C03
Caapa	0.072143453	G18	C03
Cappaa	0.078215635	G18	C03
Cappap	0.076025252	G18	C03
Capppa	0.069638251	G18	C03
Dapp	0.089064905	G20	C03
ABarapappp	0.142671702	G05	C04
ABarpaappa	0.099782187	G06	C04
ABarpaappp	0.106153393	G06	C04
ABarpapapp	0.09989263	G06	C04
ABarpppaaa	0.101972307	G06	C04
ABplpapppa	0.114006519	G09	C04
ABprpappaa	0.13969048	G13	C04
Earap	0.102080506	G16	C04
Earpa	0.105799165	G16	C04
MSaapapp	0.112248696	G15	C04
MSaappa	0.113397979	G15	C04
MSpapaap	0.116966417	G15	C04
MSpapapa	0.122279801	G15	C04
MSpapapp	0.104381377	G15	C04
MSpppaa	0.122019553	G15	C04
ABarpppapp	0.078981283	G06	C05
ABplpppppa	0.089720706	G10	C05
ABplpppppp	0.083289358	G10	C05
ABprpapppp	0.095469409	G13	C05
Capaap	0.086763646	G18	C05
Capapa	0.103395677	G18	C05
Cpaaaa	0.099334346	G19	C05
Cppaaa	0.086591631	G19	C05
Cppaap	0.090755132	G19	C05
Dapa	0.097540509	G20	C05
Dpap	0.113352661	G20	C05
Dppa	0.093528224	G20	C05
Eplaa	0.103354907	G17	C05
Eplap	0.090929428	G17	C05
Eprap	0.090906059	G17	C05
MSpappp	0.1122856	G15	C05
Z2	0.106554477	G20	C05
ABalaapaaa	0.074027102	G01	C06
ABalaapaap	0.082106377	G01	C06
ABalaapapa	0.086996479	G01	C06
ABalaapapp	0.085897179	G01	C06
ABalaappaa	0.078784503	G01	C06
ABalaappap	0.081641686	G01	C06
ABalaapppa	0.077741545	G01	C06
ABalapapap	0.078580221	G01	C06
ABalappapp	0.076078538	G01	C06
ABalapppaa	0.078081876	G01	C06
ABalapppap	0.079808289	G01	C06
ABalpaaapa	0.105149306	G02	C06
ABalpaappp	0.087868372	G02	C06
ABalpapaap	0.100757164	G02	C06
ABalpapapa	0.097656751	G02	C06
ABalpappaa	0.105931409	G02	C06
ABaraaaapp	0.088491732	G03	C06
ABaraaapaa	0.077612537	G03	C06
ABaraaapap	0.088730328	G03	C06
ABaraaappa	0.083712664	G03	C06
ABaraapaap	0.093550743	G04	C06
ABaraapapa	0.105084382	G04	C06
ABaraappaa	0.087733766	G04	C06
ABarpaaaaa	0.080182396	G06	C06
ABarpaaaap	0.095869732	G06	C06
ABarpaaapa	0.089072166	G06	C06
ABplaaaaaa	0.085734079	G07	C06
MSaaaaap	0.08249975	G15	C06
MSaaaapa	0.088395123	G15	C06
MSaaapaa	0.0945614	G15	C06
MSpaaaaa	0.073823409	G15	C06
MSpaaaap	0.085889109	G15	C06
ABarpppppp	0.058262262	G06	C07
ABprapapap	0.060196008	G12	C07
ABprapappa	0.059350579	G12	C07
ABprapappp	0.05745903	G12	C07
ABprappapp	0.063721925	G12	C07
ABprapppap	0.062371853	G12	C07
ABprappppa	0.060337846	G12	C07
ABprappppp	0.06022038	G12	C07
ABprpppapa	0.073739848	G14	C07
ABprpppapp	0.072745791	G14	C07
Caaapa	0.065580522	G18	C07
Caaapp	0.058406902	G18	C07
Caappd	0.058277851	G18	C07
Caappv	0.064662944	G18	C07
Cpaapa	0.063523464	G19	C07
Cpaapp	0.058325798	G19	C07
Cpapaa	0.057485978	G19	C07
Cpapap	0.056213412	G19	C07
Cpappd	0.057424977	G19	C07
Cpappv	0.065541553	G19	C07
Cpppap	0.068747633	G19	C07
Cppppa	0.067928824	G19	C07
Cppppp	0.067630618	G19	C07
ABarapapap	0.131069458	G05	C08
ABarapappa	0.12739468	G05	C08
ABarappaaa	0.107605435	G05	C08
ABarappaap	0.111161865	G05	C08
ABarappapa	0.10550907	G05	C08
ABarapppap	0.105388498	G05	C08
ABarappppa	0.098963916	G05	C08
ABarappppp	0.101834357	G05	C08
ABarpappaa	0.0838283	G06	C08
ABarpappap	0.085148862	G06	C08
ABarpapppa	0.096109387	G06	C08
ABpraaaapp	0.08398827	G11	C08
ABpraaappa	0.095531779	G11	C08
ABpraaappp	0.094133084	G11	C08
ABpraapaap	0.084403491	G11	C08
ABpraapapa	0.087142501	G11	C08
ABpraapapp	0.089898513	G11	C08
ABpraappaa	0.097927088	G11	C08
ABprpaaaap	0.097585543	G13	C08
ABprpaaapa	0.092428462	G13	C08
ABprpaapaa	0.091309259	G13	C08
ABprppaaaa	0.098140021	G14	C08
MSppaaa	0.09819166	G15	C08
MSppaap	0.107438553	G15	C08
MSppapa	0.114164555	G15	C08
ABalaaaalp	0.083596834	G01	C09
ABalapaaap	0.072410748	G01	C09
ABalapaapa	0.08069463	G01	C09
ABalapaapp	0.083572446	G01	C09
ABalapapaa	0.07584933	G01	C09
ABalapappa	0.086430763	G01	C09
ABalpaaaap	0.090262038	G02	C09
ABalpaapap	0.084444723	G02	C09
ABalpaappa	0.080031453	G02	C09
ABalpapaaa	0.086096488	G02	C09
ABalppaaaa	0.076580344	G02	C09
ABalppaaap	0.081857777	G02	C09
ABalppaapa	0.08111405	G02	C09
ABalppaapp	0.081496996	G02	C09
ABalppapaa	0.083539216	G02	C09
ABalppapap	0.095405019	G02	C09
ABalppappa	0.096277535	G02	C09
ABalpppaaa	0.075495027	G02	C09
ABalpppaap	0.075205685	G02	C09
ABalpppapa	0.080637417	G02	C09
ABalpppapp	0.081219556	G02	C09
ABalppppaa	0.086579346	G02	C09
ABalppppap	0.089557519	G02	C09
ABalpppppa	0.094288857	G02	C09
ABplaaaaap	0.088240562	G07	C09
ABplaapaaa	0.083980464	G07	C09
ABplaapaap	0.086804591	G07	C09
ABplaapapa	0.090771497	G07	C09
ABplpaaaaa	0.097706807	G08	C09
ABplpaapaa	0.086647037	G08	C09
MSapaaa	0.09270258	G15	C09
ABalaapppp	0.080725835	G01	C10
ABalappppa	0.0835965	G01	C10
ABalappppp	0.091760307	G01	C10
ABaraaappp	0.092454255	G03	C10
ABaraappap	0.097480977	G04	C10
ABaraapppa	0.109987668	G04	C10
ABaraapppp	0.122653741	G04	C10
ABarapaaaa	0.094107957	G05	C10
ABarapaaap	0.120897427	G05	C10
ABarapaapa	0.10221406	G05	C10
ABarapaapp	0.109378888	G05	C10
ABarapapaa	0.118101336	G05	C10
ABarapppaa	0.096219261	G05	C10
ABarpapaaa	0.084629216	G06	C10
ABarpapaap	0.08952126	G06	C10
ABarpapapa	0.093285236	G06	C10
ABpraaaaaa	0.082410556	G11	C10
ABpraaaaap	0.080488672	G11	C10
ABpraaaapa	0.084490744	G11	C10
ABpraaapaa	0.084218717	G11	C10
ABpraaapap	0.085227898	G11	C10
ABpraapaaa	0.082010993	G11	C10
ABprpaaaaa	0.093122267	G13	C10
MSpaaapa	0.093088768	G15	C10
MSpaaapp	0.099749853	G15	C10
MSpaapaa	0.087353238	G15	C10
MSpaapap	0.096332327	G15	C10
ABarppaaaa	0.113724062	G06	C11
ABarppaaap	0.106428455	G06	C11
ABplaaapap	0.125423749	G07	C11
ABplaaappa	0.100770141	G07	C11
ABplaaappp	0.100958355	G07	C11
ABplaapppa	0.088518661	G07	C11
ABplaapppp	0.087104044	G07	C11
ABplapaaaa	0.106460832	G07	C11
ABplapaaap	0.101648464	G07	C11
ABplapaapa	0.092766878	G07	C11
ABplappaaa	0.079305928	G07	C11
ABplpaappp	0.089237077	G08	C11
ABplpapaap	0.101702425	G09	C11
ABplpapapa	0.107089434	G09	C11
ABplpapapp	0.102490303	G09	C11
ABplpappap	0.128709167	G09	C11
ABplppaaap	0.10093689	G10	C11
ABplppaapa	0.09145947	G10	C11
ABplppaapp	0.088782249	G10	C11
ABplppapaa	0.087807261	G10	C11
ABplppapap	0.083180863	G10	C11
ABplpppaaa	0.084508233	G10	C11
Ealap	0.108202381	G16	C11
Ealpa	0.107111638	G16	C11
MSapapp	0.114507416	G15	C11
MSappaa	0.131824571	G15	C11
MSappap	0.120806765	G15	C11
MSapppa	0.113068166	G15	C11
ABalapappp	0.103825555	G01	C12
ABalpaaapp	0.114758476	G02	C12
ABalpapapp	0.107389448	G02	C12
ABalpappap	0.121201859	G02	C12
ABalpapppa	0.126854138	G02	C12
ABalpapppp	0.122556009	G02	C12
ABalppappp	0.101308079	G02	C12
ABaraapapp	0.122937774	G04	C12
ABarpaaapp	0.090993145	G06	C12
ABarpaapaa	0.10021505	G06	C12
ABarpaapap	0.115612075	G06	C12
ABplaaaapa	0.098862342	G07	C12
ABplaaaapp	0.112317265	G07	C12
ABplaaapaa	0.114793658	G07	C12
ABplpappaa	0.112742666	G09	C12
Ealaa	0.111863542	G16	C12
Earaa	0.104670087	G16	C12
MSaaaapp	0.098991077	G15	C12
MSaaapap	0.105713801	G15	C12
MSaaapp	0.130420814	G15	C12
MSaapaaa	0.112777819	G15	C12
MSaapaap	0.116233576	G15	C12
MSaapapa	0.118980323	G15	C12
MSapaap	0.102477512	G15	C12
MSpaapp	0.148726085	G15	C12
MSpapaaa	0.116645726	G15	C12
ABarppaapa	0.095112336	G06	C13
ABarppaapp	0.083975373	G06	C13
ABarppapaa	0.121195963	G06	C13
ABarppapap	0.106610859	G06	C13
ABplapaapp	0.081483517	G07	C13
ABplappaap	0.071934013	G07	C13
ABplappapa	0.076655275	G07	C13
ABplpapppp	0.103478118	G09	C13
ABplppappa	0.078193982	G10	C13
ABplppappp	0.074264628	G10	C13
ABplpppaap	0.079838287	G10	C13
ABplpppapa	0.075142356	G10	C13
ABplppppaa	0.096846631	G10	C13
ABplppppap	0.089820276	G10	C13
Capaaa	0.089875669	G18	C13
Daaa	0.101050447	G20	C13
Daap	0.096551822	G20	C13
Ealpp	0.100296127	G16	C13
MSaappp	0.115251081	G15	C13
MSapppp	0.113981446	G15	C13
Z3	0.128447471	G20	C13
ABarppppap	0.0711472	G06	C14
ABarpppppa	0.065495204	G06	C14
ABprapaapp	0.072140588	G12	C14
ABprapapaa	0.064951587	G12	C14
ABprappaaa	0.074889071	G12	C14
ABprappaap	0.068292459	G12	C14
ABprappapa	0.06665262	G12	C14
ABprapppaa	0.065485407	G12	C14
ABprppappa	0.079246498	G14	C14
ABprppappp	0.07554377	G14	C14
ABprpppaaa	0.086085323	G14	C14
ABprpppaap	0.077627958	G14	C14
ABprppppap	0.099216041	G14	C14
ABprpppppa	0.08560721	G14	C14
ABprpppppp	0.074118884	G14	C14
Capapp	0.080270506	G18	C14
Capppp	0.071016497	G18	C14
Cpaaap	0.074951522	G19	C14
Cppapa	0.085934699	G19	C14
Cppapp	0.078565534	G19	C14
Cpppaa	0.071972931	G19	C14
Dppp	0.083598878	G20	C14
Eplpa	0.077496676	G17	C14
Eplpp	0.074531565	G17	C14
Eprpa	0.068856924	G17	C14
Eprpp	0.064337821	G17	C14
ABarappapp	0.111658117	G05	C15
ABarpapppp	0.090989736	G06	C15
ABarpppaap	0.085237514	G06	C15
ABarpppapa	0.093699118	G06	C15
ABarppppaa	0.078404311	G06	C15
ABpraappap	0.097461864	G11	C15
ABpraapppa	0.084048682	G11	C15
ABpraapppp	0.0800614	G11	C15
ABprapaaaa	0.087298989	G12	C15
ABprapaaap	0.083534894	G12	C15
ABprapaapa	0.078061637	G12	C15
ABprpaaapp	0.092687642	G13	C15
ABprpaapap	0.088181679	G13	C15
ABprpaappa	0.087966065	G13	C15
ABprpaappp	0.089777341	G13	C15
ABprpapaaa	0.108904533	G13	C15
ABprpapaap	0.100065948	G13	C15
ABprpapapa	0.106996259	G13	C15
ABprpapapp	0.102376609	G13	C15
ABprpappap	0.12922135	G13	C15
ABprpapppa	0.112839659	G13	C15
ABprppaaap	0.093400303	G14	C15
ABprppaapa	0.092342961	G14	C15
ABprppaapp	0.08900373	G14	C15
ABprppapaa	0.09160923	G14	C15
ABprppapap	0.085317459	G14	C15
ABprppppaa	0.0973773	G14	C15
Dpaa	0.100237256	G20	C15
Earpp	0.097255637	G16	C15
Epraa	0.098395866	G17	C15
MSpappa	0.118583091	G15	C15
MSppapp	0.1161237	G15	C15
MSpppap	0.118448456	G15	C15
MSppppa	0.109000586	G15	C15
MSppppp	0.098970191	G15	C15
