clone	tissue	clone_size	cell
Cap	Muscle	8	Capaaa
Cap	Muscle	8	Capaap
Cap	Muscle	8	Capapa
Cap	Muscle	8	Capapp
Cap	Muscle	8	Cappaa
Cap	Muscle	8	Cappap
Cap	Muscle	8	Capppa
Cap	Muscle	8	Capppp
Cpp	Muscle	8	Cppaaa
Cpp	Muscle	8	Cppaap
Cpp	Muscle	8	Cppapa
Cpp	Muscle	8	Cppapp
Cpp	Muscle	8	Cpppaa
Cpp	Muscle	8	Cpppap
Cpp	Muscle	8	Cppppa
Cpp	Muscle	8	Cppppp
D	Muscle	8	Daaa
D	Muscle	8	Daap
D	Muscle	8	Dapa
D	Muscle	8	Dapp
D	Muscle	8	Dpaa
D	Muscle	8	Dpap
D	Muscle	8	Dppa
D	Muscle	8	Dppp
E	Int	16	Ealaa
E	Int	16	Ealap
E	Int	16	Ealpa
E	Int	16	Ealpp
E	Int	16	Earaa
E	Int	16	Earap
E	Int	16	Earpa
E	Int	16	Earpp
E	Int	16	Eplaa
E	Int	16	Eplap
E	Int	16	Eplpa
E	Int	16	Eplpp
E	Int	16	Epraa
E	Int	16	Eprap
E	Int	16	Eprpa
E	Int	16	Eprpp
ABarpaap	Skin	4	ABarpaapaa
ABarpaap	Skin	4	ABarpaapap
ABarpaap	Skin	4	ABarpaappa
ABarpaap	Skin	4	ABarpaappp
ABarpapp	Skin	4	ABarpappaa
ABarpapp	Skin	4	ABarpappap
ABarpapp	Skin	4	ABarpapppa
ABarpapp	Skin	4	ABarpapppp
ABarppap	Skin	4	ABarppapaa
ABarppap	Skin	4	ABarppapap
ABarppap	Skin	4	ABarppappa
ABarppap	Skin	4	ABarppappp
ABarpppp	Skin	4	ABarppppaa
ABarpppp	Skin	4	ABarppppap
ABarpppp	Skin	4	ABarpppppa
ABarpppp	Skin	4	ABarpppppp
ABplaaap	Skin	4	ABplaaapaa
ABplaaap	Skin	4	ABplaaapap
ABplaaap	Skin	4	ABplaaappa
ABplaaap	Skin	4	ABplaaappp
ABplaapp	Skin	4	ABplaappaa
ABplaapp	Skin	4	ABplaappap
ABplaapp	Skin	4	ABplaapppa
ABplaapp	Skin	4	ABplaapppp
ABplappa	Skin	4	ABplappaaa
ABplappa	Skin	4	ABplappaap
ABplappa	Skin	4	ABplappapa
ABplappa	Skin	4	ABplappapp
ABpraapp	Skin	4	ABpraappaa
ABpraapp	Skin	4	ABpraappap
ABpraapp	Skin	4	ABpraapppa
ABpraapp	Skin	4	ABpraapppp
ABprappa	Skin	4	ABprappaaa
ABprappa	Skin	4	ABprappaap
ABprappa	Skin	4	ABprappapa
ABprappa	Skin	4	ABprappapp
Cpa	Skin	8	Cpaaaa
Cpa	Skin	8	Cpaaap
Cpa	Skin	8	Cpaapa
Cpa	Skin	8	Cpaapp
Cpa	Skin	8	Cpapaa
Cpa	Skin	8	Cpapap
Cpa	Skin	8	Cpappd
Cpa	Skin	8	Cpappv
Caaa	Skin	4	Caaaaa
Caaa	Skin	4	Caaaap
Caaa	Skin	4	Caaapa
Caaa	Skin	4	Caaapp
ABalaaa	Neuron	8	ABalaaaala
